Identifiant de l'élément,Nom base français,Code de la catégorie,Statut de l'élément,CO2,Unité français
41227.0,Pain grillé suédois aux fruits,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.27,kgCO2e/kg de poids net
41228.0,Pain grillé suédois aux graines de lin,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.27,kgCO2e/kg de poids net
41234.0,Pain pour hamburger ou hot dog (bun),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries",Valide générique,1.32625,kgCO2e/kg de poids net
40511.0,Pamplemousse chinois,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.7215,kgCO2e/kg de poids net
39906.0,Panaché (limonade et bière),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées",Valide générique,1.0,kgCO2e/kg de poids net
39907.0,Panaché préemballé (<1° alc.),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées",Valide générique,1.0,kgCO2e/kg de poids net
41769.0,Panga,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Poissons cuits",Valide générique,17.85,kgCO2e/kg de poids net
40514.0,Papaye,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.861,kgCO2e/kg de poids net
40515.0,Pastèque,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.614,kgCO2e/kg de poids net
41246.0,Pâte à pizza crue,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Farines et pâtes à tarte",Valide générique,1.13,kgCO2e/kg de poids net
41247.0,Pâte à pizza cuite,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Farines et pâtes à tarte",Valide générique,1.13,kgCO2e/kg de poids net
41248.0,Pâte à pizza fine,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Farines et pâtes à tarte",Valide générique,1.13,kgCO2e/kg de poids net
41253.0,Pâte feuilletée pur beurre,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Farines et pâtes à tarte",Valide générique,4.1975,kgCO2e/kg de poids net
41260.0,Pâte sablée pur beurre,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Farines et pâtes à tarte",Valide générique,3.62,kgCO2e/kg de poids net
41269.0,Pâtes sèches,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales",Valide générique,1.5856666666666666,kgCO2e/kg de poids net
40522.0,Pêche,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,4.18975,kgCO2e/kg de poids net
40520.0,Pêche au sirop léger,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,1.06,kgCO2e/kg de poids net
41782.0,Pecten d'Amérique ou Peigne du canada,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Mollusques et crustacés crus",Valide générique,11.64,kgCO2e/kg de poids net
39659.0,Persil,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Herbes",Valide générique,2.22,kgCO2e/kg de poids net
41275.0,Pétales de blé avec noix,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41276.0,Pétales de blé chocolatés (non enrichis en vitamines et minéraux),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.4,kgCO2e/kg de poids net
41277.0,Pétales de blé chocolatés,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.4,kgCO2e/kg de poids net
41278.0,Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41279.0,Pétales de maïs glacés au sucre,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41280.0,Pétales de maïs natures (non enrichis en vitamines et minéraux),"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41281.0,Pétales de maïs natures,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
39772.0,Petit pot fruit avec banane pour bébé,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aliments infantiles > Desserts infantiles",Valide générique,0.674,kgCO2e/kg de poids net
39773.0,Petit pot fruit sans banane pour bébé,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aliments infantiles > Desserts infantiles",Valide générique,0.674,kgCO2e/kg de poids net
39774.0,Petit pot légumes,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aliments infantiles > Petits pots salés et plats infantiles",Valide générique,0.9566666666666667,kgCO2e/kg de poids net
40527.0,Petits pois,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes",Valide générique,0.9820833333333333,kgCO2e/kg de poids net
40524.0,Petits pois et carottes,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes",Valide générique,0.9535,kgCO2e/kg de poids net
41786.0,Pétoncle ou Peigne du Pérou,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Mollusques et crustacés crus",Valide générique,11.64,kgCO2e/kg de poids net
41788.0,Pigeon,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites",Valide générique,8.455,kgCO2e/kg de poids net
41789.0,Pilchard,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer",Valide générique,5.279999999999999,kgCO2e/kg de poids net
40536.0,Pistache,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses",Valide générique,7.35,kgCO2e/kg de poids net
40077.0,Pizza au saumon,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Pizzas, tartes et crêpes salées",Valide générique,2.46,kgCO2e/kg de poids net
40079.0,Pizza au thon,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Pizzas, tartes et crêpes salées",Valide générique,2.46,kgCO2e/kg de poids net
40080.0,Pizza aux fruits de mer,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Pizzas, tartes et crêpes salées",Valide générique,2.46,kgCO2e/kg de poids net
39784.0,Plat légumes,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aliments infantiles > Petits pots salés et plats infantiles",Valide générique,1.2545,kgCO2e/kg de poids net
40088.0,Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,1.19,kgCO2e/kg de poids net
40090.0,Poêlée de légumes assaisonnés grillée,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,1.19,kgCO2e/kg de poids net
40091.0,Poêlée de légumes assaisonnés sans champignon,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,1.19,kgCO2e/kg de poids net
40092.0,Poêlée de pommes de terre préfrites,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,1.93,kgCO2e/kg de poids net
40538.0,Poire au sirop léger,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits",Valide générique,0.508,kgCO2e/kg de poids net
40546.0,Pois chiche,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumineuses",Valide générique,1.0416666666666667,kgCO2e/kg de poids net
40549.0,Pois mange-tout ou pois gourmand,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes",Valide générique,0.9906666666666667,kgCO2e/kg de poids net
41796.0,Poisson,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer",Valide générique,7.880000000000001,kgCO2e/kg de poids net
40095.0,Poisson blanc à la marinière,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés",Valide générique,7.77,kgCO2e/kg de poids net
41798.0,Poitrine de porc,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Charcuteries",Valide générique,5.92,kgCO2e/kg de poids net
39662.0,Poivre blanc,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Epices",Valide générique,9.19,kgCO2e/kg de poids net
39663.0,Poivre de Cayenne ou piment de Cayenne,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Epices",Valide générique,9.19,kgCO2e/kg de poids net
39664.0,Poivre noir,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Epices",Valide générique,9.19,kgCO2e/kg de poids net
40552.0,Poivron jaune,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes",Valide générique,1.19,kgCO2e/kg de poids net
